Category,island,Expenditures
Food,Maui,10196.00
Alcoholic beverages,Maui,1024.00
Housing,Maui,26277.00
Apparel and services,Maui,1268.00
Transportation,Maui,10226.00
Health care,Maui,4646.00
Entertainment,Maui,1738.00
Food,Hawaii,7420.00
Alcoholic beverages,Hawaii,715.00
Housing,Hawaii,20921.00
Apparel and services,Hawaii,873.00
Transportation,Hawaii,8405.00
Health care,Hawaii,3924.00
Entertainment,Hawaii,1167.00
Food,Kauai,9638.00
Alcoholic beverages,Kauai,934.00
Housing,Kauai,26819.00
Apparel and services,Kauai,1268.00
Transportation,Kauai,10836.00
Health care,Kauai,4261.00
Entertainment,Kauai,1398.00
Food,Honolulu,9171.00
Alcoholic beverages,Honolulu,697.00
Housing,Honolulu,26980.00
Apparel and services,Honolulu,1206.00
Transportation,Honolulu,8714.00
Health care,Honolulu,3610.00
Entertainment,Honolulu,1567.00
Food,Honolulu_2016,"10,036  "
Alcoholic beverages,Honolulu_2016,658  
Housing,Honolulu_2016,"24,355  "
Apparel and services,Honolulu_2016,"1,667  "
Transportation,Honolulu_2016,"7,391  "
Healthcare,Honolulu_2016,"3,977  "
Entertainment,Honolulu_2016,"3,285  "
Food,SF_2016,"8,918  "
Alcoholic beverages,SF_2016,875  
Housing,SF_2016,"32,656  "
Apparel and services,SF_2016,"1,878  "
Transportation,SF_2016,"7,994  "
Healthcare,SF_2016,"5,013  "
Entertainment,SF_2016,"3,413  "
Food,Seattle_2016,"10,958  "
Alcoholic beverages,Seattle_2016,986  
Housing,Seattle_2016,"26,965  "
Apparel and services,Seattle_2016,"3,884  "
Transportation,Seattle_2016,"12,810  "
Healthcare,Seattle_2016,"5,546  "
Entertainment,Seattle_2016,"4,295  "
Food,Phonix_2016,"6,856  "
Alcoholic beverages,Phonix_2016,485  
Housing,Phonix_2016,"19,491  "
Apparel and services,Phonix_2016,"1,635  "
Transportation,Phonix_2016,"9,985  "
Healthcare,Phonix_2016,"5,328  "
Entertainment,Phonix_2016,"3,138  "
