year,island,month,Totalamount
1991,O'AHU,Jan,408322.82
1991,O'AHU,Feb,296242.88
1991,O'AHU,Mar,361459.93
1991,O'AHU,Apr,362282.54
1991,O'AHU,May,391957.63
1991,O'AHU,Jun,447115.05
1991,O'AHU,Jul,481785.80
1991,O'AHU,Aug,495543.50
1991,O'AHU,Sep,407802.61
1991,O'AHU,Oct,373013.91
1991,O'AHU,Nov,377872.76
1991,O'AHU,Dec,427627.15
1991,MAUI,Jan,166997.65
1991,MAUI,Feb,140214.86
1991,MAUI,Mar,182890.04
1991,MAUI,Apr,177258.41
1991,MAUI,May,173022.26
1991,MAUI,Jun,195620.86
1991,MAUI,Jul,202828.50
1991,MAUI,Aug,204338.04
1991,MAUI,Sep,163767.44
1991,MAUI,Oct,179335.71
1991,MAUI,Nov,171972.04
1991,MAUI,Dec,170774.15
1991,MOLOKA'I,Jan,8680.67
1991,MOLOKA'I,Feb,7589.13
1991,MOLOKA'I,Mar,9629.17
1991,MOLOKA'I,Apr,7822.32
1991,MOLOKA'I,May,9056.88
1991,MOLOKA'I,Jun,6802.02
1991,MOLOKA'I,Jul,8526.67
1991,MOLOKA'I,Aug,7159.76
1991,MOLOKA'I,Sep,4553.01
1991,MOLOKA'I,Oct,6292.22
1991,MOLOKA'I,Nov,6463.88
1991,MOLOKA'I,Dec,6785.69
1991,LĀNA'I,Jan,4520.33
1991,LĀNA'I,Feb,3849.45
1991,LĀNA'I,Mar,4469.40
1991,LĀNA'I,Apr,4726.23
1991,LĀNA'I,May,6085.08
1991,LĀNA'I,Jun,4957.18
1991,LĀNA'I,Jul,4588.71
1991,LĀNA'I,Aug,5358.28
1991,LĀNA'I,Sep,2816.43
1991,LĀNA'I,Oct,5217.47
1991,LĀNA'I,Nov,4968.00
1991,LĀNA'I,Dec,4164.62
1991,KAUA'I,Jan,91624.44
1991,KAUA'I,Feb,76135.16
1991,KAUA'I,Mar,95930.48
1991,KAUA'I,Apr,101985.85
1991,KAUA'I,May,103337.92
1991,KAUA'I,Jun,110432.96
1991,KAUA'I,Jul,114486.57
1991,KAUA'I,Aug,108884.33
1991,KAUA'I,Sep,94811.49
1991,KAUA'I,Oct,101559.93
1991,KAUA'I,Nov,91675.79
1991,KAUA'I,Dec,91461.42
1991,HAWAI'I ISLAND,Jan,99362.13
1991,HAWAI'I ISLAND,Feb,80572.83
1991,HAWAI'I ISLAND,Mar,96975.06
1991,HAWAI'I ISLAND,Apr,95849.20
1991,HAWAI'I ISLAND,May,92712.26
1991,HAWAI'I ISLAND,Jun,92051.56
1991,HAWAI'I ISLAND,Jul,115012.75
1991,HAWAI'I ISLAND,Aug,101415.09
1991,HAWAI'I ISLAND,Sep,73282.39
1991,HAWAI'I ISLAND,Oct,88412.31
1991,HAWAI'I ISLAND,Nov,86989.23
1991,HAWAI'I ISLAND,Dec,88400.15
1992,O'AHU,Jan,418399.68
1992,O'AHU,Feb,397548.16
1992,O'AHU,Mar,403331.54
1992,O'AHU,Apr,360550.04
1992,O'AHU,May,384765.04
1992,O'AHU,Jun,433178.82
1992,O'AHU,Jul,440045.66
1992,O'AHU,Aug,449905.66
1992,O'AHU,Sep,404887.52
1992,O'AHU,Oct,378724.81
1992,O'AHU,Nov,384863.54
1992,O'AHU,Dec,407959.07
1992,MAUI,Jan,165470.32
1992,MAUI,Feb,182650.66
1992,MAUI,Mar,188367.26
1992,MAUI,Apr,178726.30
1992,MAUI,May,178739.02
1992,MAUI,Jun,196158.12
1992,MAUI,Jul,200546.61
1992,MAUI,Aug,197346.15
1992,MAUI,Sep,170972.66
1992,MAUI,Oct,208985.69
1992,MAUI,Nov,201249.52
1992,MAUI,Dec,197807.75
1992,MOLOKA'I,Jan,10418.35
1992,MOLOKA'I,Feb,8306.77
1992,MOLOKA'I,Mar,9591.33
1992,MOLOKA'I,Apr,8759.69
1992,MOLOKA'I,May,8278.54
1992,MOLOKA'I,Jun,10097.55
1992,MOLOKA'I,Jul,10886.25
1992,MOLOKA'I,Aug,8877.51
1992,MOLOKA'I,Sep,9109.35
1992,MOLOKA'I,Oct,10078.02
1992,MOLOKA'I,Nov,11021.39
1992,MOLOKA'I,Dec,10258.81
1992,LĀNA'I,Jan,6861.46
1992,LĀNA'I,Feb,6116.86
1992,LĀNA'I,Mar,7309.40
1992,LĀNA'I,Apr,6311.95
1992,LĀNA'I,May,6031.50
1992,LĀNA'I,Jun,6284.90
1992,LĀNA'I,Jul,7061.94
1992,LĀNA'I,Aug,6592.20
1992,LĀNA'I,Sep,6494.70
1992,LĀNA'I,Oct,6635.66
1992,LĀNA'I,Nov,7457.76
1992,LĀNA'I,Dec,6083.72
1992,KAUA'I,Jan,87502.64
1992,KAUA'I,Feb,77022.96
1992,KAUA'I,Mar,91785.54
