Year,State,Honolulu,Hawaii,Kauai,Maui
1990,68121,51342,7517,2605,6657
1991,68115,51294,7278,2385,7158
1992,71258,53826,6940,2502,7990
1993,73566,56405,6880,2346,7935
1994,78763,60825,7116,2365,8457
1995,85447,67145,7074,2637,8591
1996,77961,60059,6855,2977,8070
1997,71492,53410,7317,2849,7916
1998,63623,47453,6757,2263,7150
1999,57324,42678,5815,2076,6755
2000,62987,46659,6425,2578,7325
2001,65947,48442,6985,2346,8174
2002,75238,57271,6936,3045,7986
2003,69267,50912,7133,3043,8179
2004,63665,46628,6219,2701,8117
2005,64067,44953,8278,2221,8615
2006,58347,41055,6760,2711,7821
2007,56411,39810,6369,3008,7224
2008,49454,34356,5935,2792,6371
2009,51066,35912,6211,2895,6048
2010,49270,34216,5769,2722,6563
2011,47340,32982,5201,2861,6296
2012,46797,31781,5799,2803,6414
2013,48569,33820,5833,2762,6154
2014,48651,32936,7182,2224,6309
2015,48919,33522,7096,1739,6562
2016,45805,32558,5395,1661,6191
