year,place,visitors
1989,USWEST,2125460
1989,USEAST,2059623
1989,JAPAN,1360249
1989,CANADA,217228
1989,EUROPE,145231
1989,OCEANIA,288184
1989,OtherASIA,135612
1989,LatinAMERICA,0
1989,OTHER,156835
2016,USWEST,3664150
2016,USEAST,1892768
2016,JAPAN,1487979
2016,CANADA,469314
2016,EUROPE,143922
2016,OCEANIA,390364
2016,OtherASIA,448414
2016,LatinAMERICA,26075
2016,OTHER,298817
2015,USWEST,3507652
2015,USEAST,1803670
2015,JAPAN,1482304
2015,CANADA,512323
2015,EUROPE,145019
2015,OCEANIA,399619
2015,OtherASIA,393833
2015,LatinAMERICA,27978
2015,OTHER,290621
