year,USWEST,USEAST,JAPAN,CANADA,EUROPE,OCEANIA,OtherASIA,LatinAMERICA,OTHER
1989,2125460,2059623,1360249,217228,145231,288184,135612,0,156835
1990,2219649,1934996,1492786,229918,172448,338633,178348,0,156753
1991,2225838,1891128,1438585,180784,161087,285136,179857,0,156047
1992,2034510,1613254,1705860,193229,231604,295604,221546,0,178062
1993,1909811,1419605,1666275,214379,225864,218042,229974,0,187044
1994,2049341,1461094,1819332,213091,217047,148041,248179,0,208548
1995,2035329,1457608,2048411,198213,204093,143019,253543,0,206543
1996,2065147,1523516,2146883,210083,193457,130962,249539,0,203553
1997,2071423,1444346,2216890,211205,193716,120003,231496,0,272058
1998,2125993,1508698,2004354,232592,182766,107116,114480,21379,298412
1999,2308836,1601238,1825588,252777,183868,111205,129564,17305,310656
2000,2432444,1712712,1817643,251843,166973,95974,152543,18150,300313
2001,2372070,1588164,1528564,216948,126020,81158,101870,14737,274259
2002,2486914,1582563,1483121,189890,111275,108835,111347,13092,302019
2003,2609862,1653357,1340034,204999,111074,95514,98466,14124,253009
2004,2768002,1805377,1482085,217163,114948,132130,98480,13760,280148
2005,3032492,1929294,1517439,248617,112370,142391,107121,14655,312194
2006,3219948,1953316,1362878,280920,106032,135813,117532,19020,332647
2007,3244707,1901502,1296421,333397,108022,164151,121109,19943,307568
2008,2769229,1683114,1175199,359580,115172,155480,112548,18896,324218
2009,2718818,1561468,1168080,346583,104403,136717,110380,17502,256498
2010,2924430,1610421,1239307,405040,112765,161060,167669,19791,276411
2011,2994731,1642279,1241805,477564,119825,209976,211028,22116,255073
2012,3178824,1699625,1465654,499144,129252,273039,289977,25519,306110
2013,3211429,1701852,1518517,517011,136805,355568,335072,30265,196955
2014,3255475,1713085,1511739,522761,142366,371367,368110,29800,281639
2015,3507652,1803670,1482304,512323,145019,399619,393833,27978,290621
2016,3664150,1892768,1487979,469314,143922,390364,448414,26075,298817
