country,year,pop,island,month,Totalamount
any,1991,1,O'AHU,Jan,408322.82
any,1991,1,O'AHU,Feb,296242.88
any,1991,1,O'AHU,Mar,361459.93
any,1991,1,O'AHU,Apr,362282.54
any,1991,1,O'AHU,May,391957.63
any,1991,1,O'AHU,Jun,447115.05
any,1991,1,O'AHU,Jul,481785.80
any,1991,1,O'AHU,Aug,495543.50
any,1991,1,O'AHU,Sep,407802.61
any,1991,1,O'AHU,Oct,373013.91
any,1991,1,O'AHU,Nov,377872.76
any,1991,1,O'AHU,Dec,427627.15
any,1991,1,MAUI CTY,Jan,171325.02
any,1991,1,MAUI CTY,Feb,143639.48
any,1991,1,MAUI CTY,Mar,187543.73
any,1991,1,MAUI CTY,Apr,180448.30
any,1991,1,MAUI CTY,May,177161.10
any,1991,1,MAUI CTY,Jun,199050.56
any,1991,1,MAUI CTY,Jul,207746.41
any,1991,1,MAUI CTY,Aug,207730.35
any,1991,1,MAUI CTY,Sep,166088.09
any,1991,1,MAUI CTY,Oct,183609.36
any,1991,1,MAUI CTY,Nov,175972.39
any,1991,1,MAUI CTY,Dec,175291.33
any,1991,1,MAUI,Jan,166997.65
any,1991,1,MAUI,Feb,140214.86
any,1991,1,MAUI,Mar,182890.04
any,1991,1,MAUI,Apr,177258.41
any,1991,1,MAUI,May,173022.26
any,1991,1,MAUI,Jun,195620.86
any,1991,1,MAUI,Jul,202828.50
any,1991,1,MAUI,Aug,204338.04
any,1991,1,MAUI,Sep,163767.44
any,1991,1,MAUI,Oct,179335.71
any,1991,1,MAUI,Nov,171972.04
any,1991,1,MAUI,Dec,170774.15
any,1991,1,MOLOKA'I,Jan,8680.67
any,1991,1,MOLOKA'I,Feb,7589.13
any,1991,1,MOLOKA'I,Mar,9629.17
any,1991,1,MOLOKA'I,Apr,7822.32
any,1991,1,MOLOKA'I,May,9056.88
any,1991,1,MOLOKA'I,Jun,6802.02
any,1991,1,MOLOKA'I,Jul,8526.67
any,1991,1,MOLOKA'I,Aug,7159.76
any,1991,1,MOLOKA'I,Sep,4553.01
any,1991,1,MOLOKA'I,Oct,6292.22
any,1991,1,MOLOKA'I,Nov,6463.88
any,1991,1,MOLOKA'I,Dec,6785.69
any,1991,1,LĀNA'I,Jan,4520.33
any,1991,1,LĀNA'I,Feb,3849.45
any,1991,1,LĀNA'I,Mar,4469.40
any,1991,1,LĀNA'I,Apr,4726.23
any,1991,1,LĀNA'I,May,6085.08
any,1991,1,LĀNA'I,Jun,4957.18
any,1991,1,LĀNA'I,Jul,4588.71
any,1991,1,LĀNA'I,Aug,5358.28
any,1991,1,LĀNA'I,Sep,2816.43
any,1991,1,LĀNA'I,Oct,5217.47
any,1991,1,LĀNA'I,Nov,4968.00
any,1991,1,LĀNA'I,Dec,4164.62
any,1991,1,KAUA'I,Jan,91624.44
any,1991,1,KAUA'I,Feb,76135.16
any,1991,1,KAUA'I,Mar,95930.48
any,1991,1,KAUA'I,Apr,101985.85
any,1991,1,KAUA'I,May,103337.92
any,1991,1,KAUA'I,Jun,110432.96
any,1991,1,KAUA'I,Jul,114486.57
any,1991,1,KAUA'I,Aug,108884.33
any,1991,1,KAUA'I,Sep,94811.49
any,1991,1,KAUA'I,Oct,101559.93
any,1991,1,KAUA'I,Nov,91675.79
any,1991,1,KAUA'I,Dec,91461.42
any,1991,1,HAWAI'I ISLAND,Jan,99362.13
any,1991,1,HAWAI'I ISLAND,Feb,80572.83
any,1991,1,HAWAI'I ISLAND,Mar,96975.06
any,1991,1,HAWAI'I ISLAND,Apr,95849.20
any,1991,1,HAWAI'I ISLAND,May,92712.26
any,1991,1,HAWAI'I ISLAND,Jun,92051.56
any,1991,1,HAWAI'I ISLAND,Jul,115012.75
any,1991,1,HAWAI'I ISLAND,Aug,101415.09
any,1991,1,HAWAI'I ISLAND,Sep,73282.39
any,1991,1,HAWAI'I ISLAND,Oct,88412.31
any,1991,1,HAWAI'I ISLAND,Nov,86989.23
any,1991,1,HAWAI'I ISLAND,Dec,88400.15
